community,shape_area,shape_len,AREAID,response_r,accept_r,rev_rating,price_pp,room_type,num_spots,poverty,crowded,dependency,without_hs,unemployed,income_pc,harship_in,num_crimes,num_theft,population
DOUGLAS,46004621.1581,31027.0545098,35,98.771429,94.514286,87.777778,78.157895,1.789474,38,29.6,1.8,30.7,14.3,18.2,23791,47,5013,1241,18238
OAKLAND,16913961.0408,19565.5061533,36,99.2,90.105263,88.8125,53.775,1.85,20,39.7,1.3,40.4,18.4,28.7,19252,78,1306,311,5918
FULLER PARK,19916704.8692,,37,68.0,,91.75,84.0,1.833333,6,51.2,3.2,44.9,26.6,33.9,10432,97,1764,383,2876
GRAND BOULEVARD,48492503.1554,28196.8371573,38,94.037037,83.615385,92.75,119.533333,1.533333,30,29.3,3.3,39.5,15.9,24.3,23472,57,6416,1428,21929
KENWOOD,29071741.9283,23325.1679062,39,92.542857,88.142857,90.65625,77.991453,1.615385,39,21.7,2.4,35.4,11.3,15.7,35911,26,2713,654,17841
LINCOLN SQUARE,71352328.2399,36624.6030848,4,90.009901,87.896907,95.241758,80.188258,1.436364,110,10.9,3.4,25.5,13.4,8.2,37524,17,3670,1014,39493
WASHINGTON PARK,42373881.4842,28175.3160866,40,100.0,97.333333,94.333333,115.75,1.75,4,42.1,5.6,42.8,25.4,28.6,13785,88,5433,823,11717
HYDE PARK,45105380.1732,29746.7082016,41,92.495049,89.93,90.516854,79.319681,1.587156,109,18.4,1.5,26.2,4.3,8.4,39056,14,3031,996,25681
WOODLAWN,57815179.512,46936.9592443,42,91.090909,96.9,93.388889,71.458333,1.958333,24,30.7,2.9,36.1,16.5,23.4,18672,58,7585,1175,25983
ROGERS PARK,51259902.4506,34052.3975757,1,95.825,88.810345,93.990196,58.673885,1.645669,127,23.6,7.7,27.5,18.2,8.7,23939,39,7181,1729,54991
JEFFERSON PARK,64868161.6818,44011.9571704,11,99.25,95.75,91.857143,64.075,1.5,10,8.6,2.7,35.5,13.4,12.4,27751,25,2222,568,25448
FOREST GLEN,89130893.6364,74493.821604,12,100.0,100.0,98.5,70.0,2.0,2,7.5,1.1,40.5,4.9,6.8,44164,11,979,257,18508
NORTH PARK,70288706.4343,41581.9486539,13,84.8,69.4,94.4,74.910714,1.285714,7,13.2,3.9,39.0,14.4,9.9,26576,33,1777,537,17931
ALBANY PARK,53542230.8191,39339.0164387,14,93.702703,88.225806,92.903226,60.482292,1.7,40,19.2,11.3,32.0,32.9,10.0,21323,53,4896,1081,51542
PORTAGE PARK,110196097.139,46520.6421377,15,93.777778,86.518519,92.695652,71.050287,1.724138,29,11.6,4.1,34.0,19.3,12.6,24336,35,6697,1552,64124
IRVING PARK,89611382.3106,49083.2240938,16,95.492958,87.746269,95.081967,92.328889,1.573333,75,13.1,6.3,31.6,22.4,10.0,27249,34,5911,1409,53359
DUNNING,103595001.175,54555.9925337,17,77.142857,98.0,93.6,80.46875,1.875,8,10.6,5.2,33.6,16.2,10.0,26282,28,3356,635,41932
MONTCLARE,27576393.6325,22404.8521448,18,100.0,88.75,92.25,61.25,1.25,4,15.3,8.1,38.6,23.5,13.8,22014,50,1228,251,13426
BELMONT CRAGIN,109099414.689,43311.707379,19,100.0,76.2,95.5,44.0,2.0,5,18.7,10.8,37.3,37.3,14.6,15461,70,9594,1762,78743
WEST RIDGE,98429094.8621,43020.6894583,2,93.704545,90.595238,93.775,52.7,2.0,50,17.2,7.8,38.5,20.8,8.8,23040,46,6271,1365,71942
HERMOSA,32602059.4055,27179.0174378,20,95.2,83.6,96.4,43.85,1.8,5,20.5,6.9,36.4,41.6,13.1,15089,71,3339,584,25010
AVONDALE,55290595.473,34261.9334038,21,95.132743,90.348624,94.148515,66.205972,1.683333,120,15.3,6.0,31.0,24.7,9.2,20039,42,4539,1235,39262
LOGAN SQUARE,100057566.7,49213.4217488,22,92.425532,87.136729,95.107246,85.860424,1.470297,404,16.8,3.2,26.2,14.8,8.2,31908,23,9983,3361,73595
HUMBOLDT PARK,100480876.502,48583.0643299,23,92.787879,85.9375,92.965517,58.012857,1.571429,35,33.9,14.8,38.0,35.4,17.3,13781,85,16361,2250,56323
WEST TOWN,127562904.597,55203.7186956,24,92.690856,86.293333,94.925743,114.540182,1.483131,741,14.7,2.3,21.7,12.9,6.6,43198,10,14705,5552,81432
AUSTIN,199254203.427,75226.4749167,25,95.0,95.75,89.2,131.175,1.9,10,28.6,6.3,37.9,24.4,22.6,15957,73,34365,4442,98514
WEST GARFIELD PARK,36092848.8151,26238.5419796,26,100.0,100.0,92.0,31.666667,1.0,1,41.7,9.4,43.6,24.5,25.8,10934,92,11932,1090,18001
EAST GARFIELD PARK,53883220.8462,31514.6259565,27,97.909091,93.285714,93.611111,71.424242,1.590909,22,42.4,8.2,43.2,21.3,19.6,12961,83,10670,1205,20567
NEAR WEST SIDE,158492466.554,53003.5929406,28,91.489627,84.547009,94.04902,123.423028,1.465649,262,20.6,3.8,22.2,9.6,10.7,44689,15,16873,6143,54881
NORTH LAWNDALE,89487422.0242,44959.4596627,29,91.818182,79.333333,85.833333,115.0,1.454545,11,43.1,7.4,42.7,27.6,21.2,12034,87,16980,1873,35912
UPTOWN,65095642.7289,46972.7945549,3,93.607843,86.316832,94.741935,95.399481,1.484444,225,24.0,3.8,22.2,11.8,8.9,35787,20,7228,1895,56362
SOUTH LAWNDALE,127998297.867,49904.0452102,30,96.0,92.305556,92.870968,39.645833,2.305556,36,30.7,15.2,33.8,54.8,15.8,10402,96,9036,1441,79288
LOWER WEST SIDE,81550723.6377,43229.3727036,31,95.012658,93.445161,92.100671,66.019192,1.654545,165,25.8,9.6,32.6,40.7,15.8,16444,76,5119,1158,35769
NEAR SOUTH SIDE,49769639.4541,45053.1651038,33,84.714286,91.142857,98.333333,98.52381,2.142857,7,13.8,1.3,21.8,7.4,4.9,59077,7,3746,1250,21390
ARMOUR SQUARE,27766196.0954,31948.5988398,34,92.083333,98.0,94.583333,65.282051,1.692308,13,40.1,5.7,38.3,34.5,16.7,16148,82,2104,484,13391
NORWOOD PARK,121959105.47,80368.3743778,10,100.0,98.0,97.857143,59.0,1.5,8,5.4,2.0,39.5,11.5,9.0,32875,21,2576,648,37023
NEAR NORTH SIDE,76675895.9728,57293.1649516,8,89.899431,85.499033,93.649007,176.375604,1.209106,593,12.9,1.9,22.6,2.5,7.0,88669,1,18947,8783,80484
LOOP,46335565.4586,39428.6729962,32,88.205742,81.464286,93.635294,176.131821,1.283262,233,14.7,1.5,13.5,3.1,5.7,65526,3,16038,8557,29283
SOUTH SHORE,81812716.3958,44249.6461173,43,96.684211,95.166667,88.0,81.595238,1.761905,21,31.1,2.8,35.7,14.0,20.0,19398,55,17466,2783,49767
CHATHAM,82320670.3112,42006.9450094,44,100.0,100.0,92.5,35.0,2.0,2,27.8,3.3,40.3,14.5,24.0,18881,60,12170,2732,31028
AVALON PARK,34852737.7366,27630.822534,45,,,,,,0,17.2,1.4,39.3,10.6,21.1,24454,41,2728,457,10185
SOUTH CHICAGO,93272185.0092,52435.9794313,46,100.0,100.0,80.0,28.8,2.6,5,29.8,4.7,41.1,26.6,19.7,16579,75,9951,1378,31198
BURNSIDE,16995983.2737,18137.9442529,47,,,,95.0,2.0,1,33.0,6.8,42.7,19.3,18.6,12515,79,758,118,2916
CALUMET HEIGHTS,48826241.5643,32925.3658706,48,100.0,0.0,90.0,70.0,2.0,1,11.5,2.1,44.0,11.0,20.0,28887,38,2888,555,13812
ROSELAND,134313706.73,56632.7954292,49,100.0,100.0,91.0,30.0,2.0,1,19.8,2.5,41.2,16.9,20.3,17949,52,13383,1979,44619
NORTH CENTER,57054167.85,31391.6697542,5,95.552083,84.75,94.160494,103.812091,1.372549,102,7.5,0.3,26.2,4.5,5.2,57123,6,2811,995,31867
PULLMAN,59001555.602,35572.0695077,50,98.0,98.4,96.5,53.5,1.333333,6,21.6,1.5,38.6,13.1,22.8,20588,51,2239,495,7325
SOUTH DEERING,303797059.66,80389.8718002,51,100.0,86.0,93.0,83.666667,1.5,2,29.2,4.0,39.5,21.0,16.3,14685,65,3874,797,15109
EAST SIDE,83241728.0493,52274.1928493,52,,,,,,0,19.2,6.8,42.8,31.9,12.1,17104,64,2707,424,23042
WEST PULLMAN,99365198.0822,50023.8430008,53,,,,,,0,25.9,3.3,42.1,20.5,19.4,16563,62,7977,1147,29651
RIVERDALE,98389497.4143,46455.4408571,54,,,,,,0,56.5,5.8,51.5,27.5,34.6,8201,98,2476,254,6482
HEGEWISCH,145965741.437,73692.3821322,55,100.0,75.0,87.0,83.75,1.0,2,17.1,3.3,42.9,19.2,9.6,22677,44,1098,221,9426
GARFIELD RIDGE,117890778.429,60080.4479704,56,100.0,60.0,100.0,50.0,2.0,1,8.8,2.6,38.1,19.3,11.3,26353,32,3888,885,34513
ARCHER HEIGHTS,55922505.7212,31880.0210295,57,100.0,100.0,92.333333,35.0,2.0,3,14.1,8.5,39.2,35.9,16.5,16134,67,1902,442,13393
BRIGHTON PARK,75892790.3114,36537.1343061,58,82.333333,97.333333,88.0,51.666667,2.0,3,23.6,14.4,39.3,45.1,13.9,13089,84,5406,771,45368
MCKINLEY PARK,39431799.6479,26014.0968371,59,100.0,100.0,93.25,61.733333,1.4,5,18.7,7.2,35.6,32.9,13.4,16954,61,2139,539,15612
LAKE VIEW,87214799.2728,51973.0968677,6,91.744917,85.661654,95.073913,121.037288,1.400657,609,11.4,1.1,17.0,2.6,4.7,60058,5,11401,4296,94368
BRIDGEPORT,58291519.2767,32732.7183268,60,94.636364,86.414634,92.382353,70.756028,1.553191,47,18.9,4.5,31.3,22.2,13.7,22694,43,3278,765,31977
NEW CITY,134636963.254,48133.595961,61,100.0,96.0,96.0,61.0,1.666667,3,29.0,11.9,38.9,41.5,23.0,12765,91,9885,1701,44377
WEST ELSDON,32711091.4259,26229.6956007,62,95.0,96.5,98.0,71.5,1.5,2,15.6,11.1,37.7,37.0,16.7,15754,69,2118,463,18109
GAGE PARK,61284896.1132,32294.1959107,63,100.0,92.5,91.375,23.59375,2.125,8,23.4,15.8,38.8,51.5,18.2,12171,93,4766,825,39894
CLEARING,71145192.3827,45363.2861749,64,,,,,,0,8.9,2.7,37.6,18.8,9.5,25113,29,1926,377,23139
WEST LAWN,82315301.6831,41934.4901309,65,100.0,100.0,96.666667,20.333333,2.333333,3,14.9,5.8,39.6,33.6,9.6,16907,56,4214,1265,33355
CHICAGO LAWN,98279465.1151,40073.0998382,66,,,,,,0,27.9,7.6,40.6,31.2,17.1,13231,80,12142,1812,55628
WEST ENGLEWOOD,87947691.9478,40195.2033069,67,100.0,96.0,88.272727,14.0,3.0,11,34.4,4.8,40.7,26.3,35.9,11317,89,14656,1820,35505
ENGLEWOOD,85652323.0826,42316.8442973,68,100.0,96.0,85.777778,16.194444,2.888889,9,46.6,3.8,42.5,28.5,28.0,11888,94,13763,1748,30654
GREATER GRAND CROSSING,98853167.7093,54645.3302996,69,93.333333,100.0,86.5,70.0,2.0,3,29.6,3.6,41.0,16.5,23.0,17285,66,13341,2098,32602
LINCOLN PARK,88316400.4728,49478.4277714,7,90.977778,83.175896,93.223368,149.147253,1.343575,358,12.3,0.8,21.5,3.6,5.1,71551,2,7793,3646,64116
ASHBURN,135460337.208,54818.1546317,70,75.0,100.0,,155.0,1.5,2,10.4,4.0,36.9,17.7,11.7,23482,37,4894,1022,41081
AUBURN GRESHAM,105065353.602,46757.7217161,71,100.0,98.0,96.5,52.5,2.0,3,27.6,4.0,41.9,18.5,28.3,15528,74,15334,2265,48743
BEVERLY,88779363.9384,44591.4851009,72,95.0,78.833333,89.666667,91.714286,1.571429,7,5.1,0.9,40.5,3.7,8.0,39523,12,1912,571,20034
WASHINGTON HEIGHTS,79635752.8769,42222.598163,73,,,,,,0,16.9,1.1,42.6,13.7,20.8,19713,48,6378,1076,26493
MOUNT GREENWOOD,75584290.0209,48665.1305392,74,,,,,,0,3.4,1.0,36.8,4.3,8.7,34381,16,1233,326,19093
MORGAN PARK,91877340.6988,46396.419362,75,85.5,96.666667,97.0,67.933333,1.0,5,13.2,0.8,40.3,10.8,15.0,27149,30,3998,912,22544
OHARE,371835607.687,173625.98466,76,83.5,100.0,83.0,38.5,2.5,2,15.4,3.6,30.3,10.9,7.1,25828,24,3423,1011,12756
EDGEWATER,48449990.8397,31004.8309456,77,94.42953,85.925676,94.540323,77.19951,1.582353,170,18.2,4.1,23.8,9.7,9.2,33385,19,4559,1409,56521
EDISON PARK,31636313.7864,25937.226841,9,100.0,95.0,91.0,25.0,1.0,1,3.3,1.1,35.3,7.4,6.5,40959,8,537,104,11187
